


1, S, 976, 0, 0, 0, 4096, 0
2, S, 976, 0, 0, 0, 640, 0
3, L, 0, 0, 0, 0, 1024, 0
4, L, 0, 0, 0, 0, 1024, 0
5, L, 0, 0, 0, 0, 4096, 0
6, S, 976, 0, 0, 0, 1024, 0
7, L, 0, 0, 0, 0, 1024, 0
8, L, 488, 0, 0, 0, 2048, 0
9, L, 878, 0, 0, 0, 4096, 0
10, L, 488, 0, 0, 0, 640, 0
11, L, 0, 0, 0, 0, 4096, 0
12, L, 0, 0, 0, 0, 4096, 0
13, L, 0, 0, 0, 0, 640, 0
14, L, 390, 0, 0, 0, 1024, 0
15, L, 683, 0, 0, 0, 2048, 0
16, L, 488, 0, 0, 0, 2048, 0
17, L, 195, 0, 0, 0, 2048, 0
18, L, 0, 0, 0, 0, 1024, 0
19, S, 976, 0, 0, 0, 640, 0
20, L, 97, 0, 0, 0, 640, 0
21, S, 976, 0, 0, 0, 2048, 0
22, L, 390, 0, 0, 0, 640, 0
23, L, 0, 0, 0, 0, 2048, 0
24, L, 0, 0, 0, 0, 2048, 0
25, S, 976, 0, 0, 0, 2048, 0
26, S, 976, 0, 0, 0, 640, 0
27, L, 390, 0, 0, 0, 640, 0
28, L, 0, 0, 0, 0, 1024, 0
29, S, 976, 0, 0, 0, 640, 0
30, L, 0, 0, 0, 0, 2048, 0
31, S, 976, 0, 0, 0, 1024, 0
32, L, 878, 0, 0, 0, 1024, 0
33, L, 390, 0, 0, 0, 1024, 0
34, L, 0, 0, 0, 0, 2048, 0
1, S, 976, 0, 0, 33, 4096, 10000
2, S, 976, 0, 0, 33, 640, 10000
3, L, 0, 0, 0, 33, 1024, 10000
4, L, 0, 0, 0, 33, 1024, 10000
5, L, 0, 0, 0, 33, 4096, 10000
6, S, 976, 0, 0, 33, 1024, 10000
7, L, 0, 0, 0, 33, 1024, 10000
8, L, 488, 0, 0, 33, 2048, 10000
9, L, 878, 0, 0, 33, 4096, 10000
10, L, 488, 0, 0, 33, 640, 10000
11, L, 0, 0, 0, 33, 4096, 10000
12, L, 0, 0, 0, 33, 4096, 10000
13, L, 0, 0, 0, 33, 640, 10000
14, L, 390, 0, 0, 33, 1024, 10000
15, L, 683, 0, 0, 33, 2048, 10000
16, L, 488, 0, 0, 33, 2048, 10000
17, L, 195, 0, 0, 33, 2048, 10000
18, L, 0, 0, 0, 33, 1024, 10000
19, S, 976, 0, 0, 33, 640, 10000
20, L, 97, 0, 0, 33, 640, 10000
21, S, 976, 0, 0, 33, 2048, 10000
22, L, 390, 0, 0, 33, 640, 10000
23, L, 0, 0, 0, 33, 2048, 10000
24, L, 0, 0, 0, 33, 2048, 10000
25, S, 976, 0, 0, 33, 2048, 10000
26, S, 976, 0, 0, 33, 640, 10000
27, L, 390, 0, 0, 33, 640, 10000
28, L, 0, 0, 0, 33, 1024, 10000
29, S, 976, 0, 0, 33, 640, 10000
30, L, 0, 0, 0, 33, 2048, 10000
31, S, 976, 0, 0, 33, 1024, 10000
32, L, 878, 0, 0, 33, 1024, 10000
33, L, 390, 0, 0, 33, 1024, 10000
34, L, 0, 0, 0, 33, 2048, 10000
1, S, 976, 0, 5, 33, 4096, 20000
2, S, 976, 0, 8, 33, 640, 20000
3, L, 7, 4, 0, 33, 1024, 20000
4, L, 7, 1, 0, 33, 1024, 20000
5, L, 0, 0, 0, 33, 4096, 20000
6, S, 976, 0, 7, 33, 1024, 20000
7, L, 1, 4, 0, 33, 1024, 20000
8, L, 489, 5, 0, 33, 2048, 20000
9, L, 878, 0, 4, 33, 4096, 20000
10, L, 490, 4, 1, 33, 640, 20000
11, L, 5, 5, 0, 33, 4096, 20000
12, L, 4, 2, 0, 33, 4096, 20000
13, L, 2, 5, 0, 33, 640, 20000
14, L, 390, 0, 0, 33, 1024, 20000
15, L, 683, 0, 4, 33, 2048, 20000
16, L, 491, 5, 4, 33, 2048, 20000
17, L, 196, 5, 0, 33, 2048, 20000
18, L, 6, 4, 0, 33, 1024, 20000
19, S, 976, 0, 0, 33, 640, 20000
20, L, 101, 4, 0, 33, 640, 20000
21, S, 976, 0, 9, 33, 2048, 20000
22, L, 391, 5, 9, 33, 640, 20000
23, L, 2, 2, 0, 33, 2048, 20000
24, L, 2, 5, 0, 33, 2048, 20000
25, S, 976, 0, 1, 33, 2048, 20000
26, S, 976, 0, 2, 33, 640, 20000
27, L, 391, 3, 5, 33, 640, 20000
28, L, 2, 3, 0, 33, 1024, 20000
29, S, 976, 0, 2, 33, 640, 20000
30, L, 2, 4, 0, 33, 2048, 20000
31, S, 976, 0, 4, 33, 1024, 20000
32, L, 880, 2, 5, 33, 1024, 20000
33, L, 392, 5, 7, 33, 1024, 20000
34, L, 0, 0, 0, 33, 2048, 20000
1, S, 976, 0, 7, 33, 4096, 30000
2, S, 976, 0, 8, 33, 640, 30000
3, L, 8, 0, 0, 33, 1024, 30000
4, L, 14, 3, 0, 33, 1024, 30000
5, L, 0, 0, 0, 33, 4096, 30000
6, S, 976, 0, 7, 33, 1024, 30000
7, L, 2, 0, 0, 33, 1024, 30000
8, L, 489, 0, 6, 33, 2048, 30000
9, L, 878, 0, 0, 33, 4096, 30000
10, L, 494, 1, 0, 33, 640, 30000
11, L, 6, 0, 0, 33, 4096, 30000
12, L, 10, 1, 0, 33, 4096, 30000
13, L, 2, 0, 0, 33, 640, 30000
14, L, 390, 0, 0, 33, 1024, 30000
15, L, 683, 0, 0, 33, 2048, 30000
16, L, 496, 4, 0, 33, 2048, 30000
17, L, 202, 4, 0, 33, 2048, 30000
18, L, 7, 0, 0, 33, 1024, 30000
19, S, 976, 0, 0, 33, 640, 30000
